structure,total,inUse,free,time
4th & William,960.0,454.0,506.0,1676567230.0188017
1st & Wash.,243.0,84.0,159.0,1676567230.0188017
4th & Wash.,270.0,229.0,41.0,1676567230.0188017
1st and William,110.0,0.0,110.0,1676570831.5317466
Library Lane,744.0,227.0,517.0,1676570831.5317466
Maynard,791.0,665.0,126.0,1676570831.5317466
Forest Garage,853.0,485.0,368.0,1676570831.5317466
Liberty Square (Tally Hall),540.0,425.0,115.0,1676570831.5317466
Ann Ashley,811.0,721.0,90.0,1676570831.5317466
South Ashley (Kline Lot),143.0,69.0,74.0,1676570831.5317466
4th & William,960.0,454.0,506.0,1676570831.5317466
1st & Wash.,243.0,84.0,159.0,1676570831.5317466
4th & Wash.,270.0,229.0,41.0,1676570831.5317466
1st and William,110.0,0.0,110.0,1676574427.6940975
Library Lane,744.0,227.0,517.0,1676574427.6940975
Maynard,791.0,665.0,126.0,1676574427.6940975
Forest Garage,853.0,485.0,368.0,1676574427.6940975
Liberty Square (Tally Hall),540.0,425.0,115.0,1676574427.6940975
Ann Ashley,811.0,721.0,90.0,1676574427.6940975
South Ashley (Kline Lot),143.0,69.0,74.0,1676574427.6940975
4th & William,960.0,454.0,506.0,1676574427.6940975
1st & Wash.,243.0,84.0,159.0,1676574427.6940975
4th & Wash.,270.0,229.0,41.0,1676574427.6940975
1st and William,110.0,0.0,110.0,1676578032.9702103
Library Lane,744.0,219.0,525.0,1676578032.9702103
Maynard,791.0,673.0,118.0,1676578032.9702103
Forest Garage,853.0,461.0,392.0,1676578032.9702103
Liberty Square (Tally Hall),540.0,429.0,111.0,1676578032.9702103
Ann Ashley,811.0,696.0,115.0,1676578032.9702103
South Ashley (Kline Lot),143.0,66.0,77.0,1676578032.9702103
4th & William,960.0,441.0,519.0,1676578032.9702103
1st & Wash.,243.0,81.0,162.0,1676578032.9702103
4th & Wash.,270.0,153.0,117.0,1676578032.9702103
1st and William,110.0,0.0,110.0,1676581628.5282412
Library Lane,744.0,219.0,525.0,1676581628.5282412
Maynard,791.0,673.0,118.0,1676581628.5282412
Forest Garage,853.0,461.0,392.0,1676581628.5282412
Liberty Square (Tally Hall),540.0,429.0,111.0,1676581628.5282412
Ann Ashley,811.0,696.0,115.0,1676581628.5282412
South Ashley (Kline Lot),143.0,66.0,77.0,1676581628.5282412
4th & William,960.0,441.0,519.0,1676581628.5282412
1st & Wash.,243.0,81.0,162.0,1676581628.5282412
4th & Wash.,270.0,153.0,117.0,1676581628.5282412
1st and William,110.0,0.0,110.0,1676585231.1341805
Library Lane,744.0,219.0,525.0,1676585231.1341805
Maynard,791.0,673.0,118.0,1676585231.1341805
Forest Garage,853.0,461.0,392.0,1676585231.1341805
Liberty Square (Tally Hall),540.0,429.0,111.0,1676585231.1341805
Ann Ashley,811.0,696.0,115.0,1676585231.1341805
South Ashley (Kline Lot),143.0,66.0,77.0,1676585231.1341805
4th & William,960.0,441.0,519.0,1676585231.1341805
1st & Wash.,243.0,81.0,162.0,1676585231.1341805
4th & Wash.,270.0,153.0,117.0,1676585231.1341805
1st and William,110.0,0.0,110.0,1676588829.438438
Library Lane,744.0,219.0,525.0,1676588829.438438
Maynard,791.0,673.0,118.0,1676588829.438438
Forest Garage,853.0,461.0,392.0,1676588829.438438
Liberty Square (Tally Hall),540.0,429.0,111.0,1676588829.438438
Ann Ashley,811.0,696.0,115.0,1676588829.438438
South Ashley (Kline Lot),143.0,66.0,77.0,1676588829.438438
4th & William,960.0,441.0,519.0,1676588829.438438
1st & Wash.,243.0,81.0,162.0,1676588829.438438
4th & Wash.,270.0,153.0,117.0,1676588829.438438
1st and William,110.0,0.0,110.0,1676592432.5427089
Library Lane,744.0,147.0,597.0,1676592432.5427089
Maynard,791.0,656.0,135.0,1676592432.5427089
Forest Garage,853.0,223.0,630.0,1676592432.5427089
Liberty Square (Tally Hall),540.0,369.0,171.0,1676592432.5427089
Ann Ashley,811.0,431.0,380.0,1676592432.5427089
South Ashley (Kline Lot),143.0,71.0,72.0,1676592432.5427089
4th & William,960.0,431.0,529.0,1676592432.5427089
1st & Wash.,243.0,116.0,127.0,1676592432.5427089
4th & Wash.,270.0,102.0,168.0,1676592432.5427089
1st and William,110.0,0.0,110.0,1676596031.0844903
Library Lane,744.0,147.0,597.0,1676596031.0844903
Maynard,791.0,656.0,135.0,1676596031.0844903
Forest Garage,853.0,223.0,630.0,1676596031.0844903
Liberty Square (Tally Hall),540.0,369.0,171.0,1676596031.0844903
Ann Ashley,811.0,431.0,380.0,1676596031.0844903
South Ashley (Kline Lot),143.0,71.0,72.0,1676596031.0844903
4th & William,960.0,431.0,529.0,1676596031.0844903
1st & Wash.,243.0,116.0,127.0,1676596031.0844903
4th & Wash.,270.0,102.0,168.0,1676596031.0844903
1st and William,110.0,0.0,110.0,1676599639.008633
Library Lane,744.0,147.0,597.0,1676599639.008633
Maynard,791.0,656.0,135.0,1676599639.008633
Forest Garage,853.0,223.0,630.0,1676599639.008633
Liberty Square (Tally Hall),540.0,369.0,171.0,1676599639.008633
Ann Ashley,811.0,431.0,380.0,1676599639.008633
South Ashley (Kline Lot),143.0,71.0,72.0,1676599639.008633
4th & William,960.0,431.0,529.0,1676599639.008633
1st & Wash.,243.0,116.0,127.0,1676599639.008633
4th & Wash.,270.0,102.0,168.0,1676599639.008633
1st and William,110.0,0.0,110.0,1676603232.3467112
Library Lane,744.0,100.0,644.0,1676603232.3467112
Maynard,791.0,379.0,412.0,1676603232.3467112
Forest Garage,853.0,158.0,695.0,1676603232.3467112
Liberty Square (Tally Hall),540.0,255.0,285.0,1676603232.3467112
Ann Ashley,811.0,392.0,419.0,1676603232.3467112
South Ashley (Kline Lot),143.0,30.0,113.0,1676603232.3467112
4th & William,960.0,312.0,648.0,1676603232.3467112
1st & Wash.,243.0,243.0,0.0,1676603232.3467112
4th & Wash.,270.0,30.0,240.0,1676603232.3467112
1st and William,110.0,0.0,110.0,1676606832.005198
Library Lane,744.0,100.0,644.0,1676606832.005198
Maynard,791.0,379.0,412.0,1676606832.005198
Forest Garage,853.0,158.0,695.0,1676606832.005198
Liberty Square (Tally Hall),540.0,255.0,285.0,1676606832.005198
Ann Ashley,811.0,392.0,419.0,1676606832.005198
South Ashley (Kline Lot),143.0,30.0,113.0,1676606832.005198
4th & William,960.0,312.0,648.0,1676606832.005198
1st & Wash.,243.0,243.0,0.0,1676606832.005198
4th & Wash.,270.0,30.0,240.0,1676606832.005198
1st and William,110.0,0.0,110.0,1676610432.0319357
Library Lane,744.0,100.0,644.0,1676610432.0319357
Maynard,791.0,379.0,412.0,1676610432.0319357
Forest Garage,853.0,158.0,695.0,1676610432.0319357
Liberty Square (Tally Hall),540.0,255.0,285.0,1676610432.0319357
Ann Ashley,811.0,392.0,419.0,1676610432.0319357
South Ashley (Kline Lot),143.0,30.0,113.0,1676610432.0319357
4th & William,960.0,312.0,648.0,1676610432.0319357
1st & Wash.,243.0,243.0,0.0,1676610432.0319357
4th & Wash.,270.0,30.0,240.0,1676610432.0319357
1st and William,110.0,0.0,110.0,1676614030.7366736
Library Lane,744.0,100.0,644.0,1676614030.7366736
Maynard,791.0,379.0,412.0,1676614030.7366736
Forest Garage,853.0,158.0,695.0,1676614030.7366736
Liberty Square (Tally Hall),540.0,255.0,285.0,1676614030.7366736
Ann Ashley,811.0,392.0,419.0,1676614030.7366736
South Ashley (Kline Lot),143.0,30.0,113.0,1676614030.7366736
4th & William,960.0,312.0,648.0,1676614030.7366736
1st & Wash.,243.0,243.0,0.0,1676614030.7366736
4th & Wash.,270.0,30.0,240.0,1676614030.7366736
1st and William,110.0,0.0,110.0,1676617631.783291
Library Lane,744.0,97.0,647.0,1676617631.783291
Maynard,791.0,280.0,511.0,1676617631.783291
Forest Garage,853.0,131.0,722.0,1676617631.783291
Liberty Square (Tally Hall),540.0,192.0,348.0,1676617631.783291
Ann Ashley,811.0,388.0,423.0,1676617631.783291
South Ashley (Kline Lot),143.0,6.0,137.0,1676617631.783291
4th & William,960.0,282.0,678.0,1676617631.783291
1st & Wash.,243.0,243.0,0.0,1676617631.783291
4th & Wash.,270.0,0.0,270.0,1676617631.783291
1st and William,110.0,0.0,110.0,1676621232.535067
Library Lane,744.0,97.0,647.0,1676621232.535067
Maynard,791.0,280.0,511.0,1676621232.535067
Forest Garage,853.0,131.0,722.0,1676621232.535067
Liberty Square (Tally Hall),540.0,192.0,348.0,1676621232.535067
Ann Ashley,811.0,388.0,423.0,1676621232.535067
South Ashley (Kline Lot),143.0,6.0,137.0,1676621232.535067
4th & William,960.0,282.0,678.0,1676621232.535067
1st & Wash.,243.0,243.0,0.0,1676621232.535067
4th & Wash.,270.0,0.0,270.0,1676621232.535067
1st and William,110.0,0.0,110.0,1676624833.059234
Library Lane,744.0,97.0,647.0,1676624833.059234
Maynard,791.0,280.0,511.0,1676624833.059234
Forest Garage,853.0,131.0,722.0,1676624833.059234
Liberty Square (Tally Hall),540.0,192.0,348.0,1676624833.059234
Ann Ashley,811.0,388.0,423.0,1676624833.059234
South Ashley (Kline Lot),143.0,6.0,137.0,1676624833.059234
4th & William,960.0,282.0,678.0,1676624833.059234
1st & Wash.,243.0,243.0,0.0,1676624833.059234
4th & Wash.,270.0,0.0,270.0,1676624833.059234
1st and William,110.0,0.0,110.0,1676628441.3576858
Library Lane,744.0,79.0,665.0,1676628441.3576858
Maynard,791.0,262.0,529.0,1676628441.3576858
Forest Garage,853.0,91.0,762.0,1676628441.3576858
Liberty Square (Tally Hall),540.0,190.0,350.0,1676628441.3576858
Ann Ashley,811.0,384.0,427.0,1676628441.3576858
South Ashley (Kline Lot),143.0,2.0,141.0,1676628441.3576858
4th & William,960.0,275.0,685.0,1676628441.3576858
1st & Wash.,243.0,243.0,0.0,1676628441.3576858
4th & Wash.,270.0,0.0,270.0,1676628441.3576858
1st and William,110.0,0.0,110.0,1676632031.4536932
Library Lane,744.0,79.0,665.0,1676632031.4536932
Maynard,791.0,262.0,529.0,1676632031.4536932
Forest Garage,853.0,91.0,762.0,1676632031.4536932
Liberty Square (Tally Hall),540.0,190.0,350.0,1676632031.4536932
Ann Ashley,811.0,384.0,427.0,1676632031.4536932
South Ashley (Kline Lot),143.0,2.0,141.0,1676632031.4536932
4th & William,960.0,275.0,685.0,1676632031.4536932
1st & Wash.,243.0,243.0,0.0,1676632031.4536932
4th & Wash.,270.0,0.0,270.0,1676632031.4536932
1st and William,110.0,0.0,110.0,1676635630.769811
Library Lane,744.0,79.0,665.0,1676635630.769811
Maynard,791.0,262.0,529.0,1676635630.769811
Forest Garage,853.0,91.0,762.0,1676635630.769811
Liberty Square (Tally Hall),540.0,190.0,350.0,1676635630.769811
Ann Ashley,811.0,384.0,427.0,1676635630.769811
South Ashley (Kline Lot),143.0,2.0,141.0,1676635630.769811
4th & William,960.0,275.0,685.0,1676635630.769811
1st & Wash.,243.0,243.0,0.0,1676635630.769811
4th & Wash.,270.0,0.0,270.0,1676635630.769811
1st and William,110.0,0.0,110.0,1676639235.9465592
Library Lane,744.0,79.0,665.0,1676639235.9465592
Maynard,791.0,262.0,529.0,1676639235.9465592
Forest Garage,853.0,91.0,762.0,1676639235.9465592
Liberty Square (Tally Hall),540.0,190.0,350.0,1676639235.9465592
Ann Ashley,811.0,384.0,427.0,1676639235.9465592
South Ashley (Kline Lot),143.0,2.0,141.0,1676639235.9465592
4th & William,960.0,275.0,685.0,1676639235.9465592
1st & Wash.,243.0,243.0,0.0,1676639235.9465592
4th & Wash.,270.0,0.0,270.0,1676639235.9465592
1st and William,110.0,0.0,110.0,1676642832.5077138
Library Lane,744.0,164.0,580.0,1676642832.5077138
Maynard,791.0,516.0,275.0,1676642832.5077138
Forest Garage,853.0,274.0,579.0,1676642832.5077138
Liberty Square (Tally Hall),540.0,298.0,242.0,1676642832.5077138
Ann Ashley,811.0,564.0,247.0,1676642832.5077138
South Ashley (Kline Lot),143.0,16.0,127.0,1676642832.5077138
4th & William,960.0,343.0,617.0,1676642832.5077138
1st & Wash.,243.0,243.0,0.0,1676642832.5077138
4th & Wash.,270.0,47.0,223.0,1676642832.5077138
1st and William,110.0,0.0,110.0,1676646428.808713
Library Lane,744.0,164.0,580.0,1676646428.808713
Maynard,791.0,516.0,275.0,1676646428.808713
Forest Garage,853.0,274.0,579.0,1676646428.808713
Liberty Square (Tally Hall),540.0,298.0,242.0,1676646428.808713
Ann Ashley,811.0,564.0,247.0,1676646428.808713
South Ashley (Kline Lot),143.0,16.0,127.0,1676646428.808713
4th & William,960.0,343.0,617.0,1676646428.808713
1st & Wash.,243.0,243.0,0.0,1676646428.808713
4th & Wash.,270.0,47.0,223.0,1676646428.808713
1st and William,110.0,0.0,110.0,1676650029.3604224
Library Lane,744.0,164.0,580.0,1676650029.3604224
Maynard,791.0,516.0,275.0,1676650029.3604224
Forest Garage,853.0,274.0,579.0,1676650029.3604224
Liberty Square (Tally Hall),540.0,298.0,242.0,1676650029.3604224
Ann Ashley,811.0,564.0,247.0,1676650029.3604224
South Ashley (Kline Lot),143.0,16.0,127.0,1676650029.3604224
4th & William,960.0,343.0,617.0,1676650029.3604224
1st & Wash.,243.0,243.0,0.0,1676650029.3604224
4th & Wash.,270.0,47.0,223.0,1676650029.3604224
1st and William,110.0,0.0,110.0,1676653628.0559452
Library Lane,744.0,164.0,580.0,1676653628.0559452
Maynard,791.0,516.0,275.0,1676653628.0559452
Forest Garage,853.0,274.0,579.0,1676653628.0559452
Liberty Square (Tally Hall),540.0,298.0,242.0,1676653628.0559452
Ann Ashley,811.0,564.0,247.0,1676653628.0559452
South Ashley (Kline Lot),143.0,16.0,127.0,1676653628.0559452
4th & William,960.0,343.0,617.0,1676653628.0559452
1st & Wash.,243.0,243.0,0.0,1676653628.0559452
4th & Wash.,270.0,47.0,223.0,1676653628.0559452
1st and William,110.0,0.0,110.0,1676657231.155338
Library Lane,744.0,215.0,529.0,1676657231.155338
Maynard,791.0,777.0,14.0,1676657231.155338
Forest Garage,853.0,291.0,562.0,1676657231.155338
Liberty Square (Tally Hall),540.0,415.0,125.0,1676657231.155338
Ann Ashley,811.0,666.0,145.0,1676657231.155338
South Ashley (Kline Lot),143.0,54.0,89.0,1676657231.155338
4th & William,960.0,427.0,533.0,1676657231.155338
1st & Wash.,243.0,74.0,169.0,1676657231.155338
4th & Wash.,270.0,158.0,112.0,1676657231.155338
1st and William,110.0,0.0,110.0,1676660827.8548856
Library Lane,744.0,215.0,529.0,1676660827.8548856
Maynard,791.0,777.0,14.0,1676660827.8548856
Forest Garage,853.0,291.0,562.0,1676660827.8548856
Liberty Square (Tally Hall),540.0,415.0,125.0,1676660827.8548856
Ann Ashley,811.0,666.0,145.0,1676660827.8548856
South Ashley (Kline Lot),143.0,54.0,89.0,1676660827.8548856
4th & William,960.0,427.0,533.0,1676660827.8548856
1st & Wash.,243.0,74.0,169.0,1676660827.8548856
4th & Wash.,270.0,158.0,112.0,1676660827.8548856
1st and William,110.0,0.0,110.0,1676664431.89089
Library Lane,744.0,215.0,529.0,1676664431.89089
Maynard,791.0,777.0,14.0,1676664431.89089
Forest Garage,853.0,291.0,562.0,1676664431.89089
Liberty Square (Tally Hall),540.0,415.0,125.0,1676664431.89089
Ann Ashley,811.0,666.0,145.0,1676664431.89089
South Ashley (Kline Lot),143.0,54.0,89.0,1676664431.89089
4th & William,960.0,427.0,533.0,1676664431.89089
1st & Wash.,243.0,74.0,169.0,1676664431.89089
4th & Wash.,270.0,158.0,112.0,1676664431.89089
1st and William,110.0,0.0,110.0,1676668028.1481853
Library Lane,744.0,215.0,529.0,1676668028.1481853
Maynard,791.0,777.0,14.0,1676668028.1481853
Forest Garage,853.0,291.0,562.0,1676668028.1481853
Liberty Square (Tally Hall),540.0,415.0,125.0,1676668028.1481853
Ann Ashley,811.0,666.0,145.0,1676668028.1481853
South Ashley (Kline Lot),143.0,54.0,89.0,1676668028.1481853
4th & William,960.0,427.0,533.0,1676668028.1481853
1st & Wash.,243.0,74.0,169.0,1676668028.1481853
4th & Wash.,270.0,158.0,112.0,1676668028.1481853
1st and William,110.0,0.0,110.0,1676671632.717067
Library Lane,744.0,163.0,581.0,1676671632.717067
Maynard,791.0,375.0,416.0,1676671632.717067
Forest Garage,853.0,136.0,717.0,1676671632.717067
Liberty Square (Tally Hall),540.0,358.0,182.0,1676671632.717067
Ann Ashley,811.0,512.0,299.0,1676671632.717067
South Ashley (Kline Lot),143.0,72.0,71.0,1676671632.717067
4th & William,960.0,408.0,552.0,1676671632.717067
1st & Wash.,243.0,110.0,133.0,1676671632.717067
4th & Wash.,270.0,128.0,142.0,1676671632.717067
1st and William,110.0,0.0,110.0,1676675227.670641
Library Lane,744.0,163.0,581.0,1676675227.670641
Maynard,791.0,375.0,416.0,1676675227.670641
Forest Garage,853.0,136.0,717.0,1676675227.670641
Liberty Square (Tally Hall),540.0,358.0,182.0,1676675227.670641
Ann Ashley,811.0,512.0,299.0,1676675227.670641
South Ashley (Kline Lot),143.0,72.0,71.0,1676675227.670641
4th & William,960.0,408.0,552.0,1676675227.670641
1st & Wash.,243.0,110.0,133.0,1676675227.670641
4th & Wash.,270.0,128.0,142.0,1676675227.670641
1st and William,110.0,0.0,110.0,1676678834.3701277
Library Lane,744.0,163.0,581.0,1676678834.3701277
Maynard,791.0,375.0,416.0,1676678834.3701277
Forest Garage,853.0,136.0,717.0,1676678834.3701277
Liberty Square (Tally Hall),540.0,358.0,182.0,1676678834.3701277
Ann Ashley,811.0,512.0,299.0,1676678834.3701277
South Ashley (Kline Lot),143.0,72.0,71.0,1676678834.3701277
4th & William,960.0,408.0,552.0,1676678834.3701277
1st & Wash.,243.0,110.0,133.0,1676678834.3701277
4th & Wash.,270.0,128.0,142.0,1676678834.3701277
1st and William,110.0,0.0,110.0,1676682431.6334922
Library Lane,744.0,163.0,581.0,1676682431.6334922
Maynard,791.0,375.0,416.0,1676682431.6334922
Forest Garage,853.0,136.0,717.0,1676682431.6334922
Liberty Square (Tally Hall),540.0,358.0,182.0,1676682431.6334922
Ann Ashley,811.0,512.0,299.0,1676682431.6334922
South Ashley (Kline Lot),143.0,72.0,71.0,1676682431.6334922
4th & William,960.0,408.0,552.0,1676682431.6334922
1st & Wash.,243.0,110.0,133.0,1676682431.6334922
4th & Wash.,270.0,128.0,142.0,1676682431.6334922
1st and William,110.0,0.0,110.0,1676686032.2324972
Library Lane,744.0,135.0,609.0,1676686032.2324972
Maynard,791.0,515.0,276.0,1676686032.2324972
Forest Garage,853.0,135.0,718.0,1676686032.2324972
Liberty Square (Tally Hall),540.0,355.0,185.0,1676686032.2324972
Ann Ashley,811.0,472.0,339.0,1676686032.2324972
South Ashley (Kline Lot),143.0,134.0,9.0,1676686032.2324972
4th & William,960.0,568.0,392.0,1676686032.2324972
1st & Wash.,243.0,243.0,0.0,1676686032.2324972
4th & Wash.,270.0,237.0,33.0,1676686032.2324972
1st and William,110.0,0.0,110.0,1676689630.4321797
Library Lane,744.0,135.0,609.0,1676689630.4321797
Maynard,791.0,515.0,276.0,1676689630.4321797
Forest Garage,853.0,135.0,718.0,1676689630.4321797
Liberty Square (Tally Hall),540.0,355.0,185.0,1676689630.4321797
Ann Ashley,811.0,472.0,339.0,1676689630.4321797
South Ashley (Kline Lot),143.0,134.0,9.0,1676689630.4321797
4th & William,960.0,568.0,392.0,1676689630.4321797
1st & Wash.,243.0,243.0,0.0,1676689630.4321797
4th & Wash.,270.0,237.0,33.0,1676689630.4321797
1st and William,110.0,0.0,110.0,1676693231.3830066
Library Lane,744.0,135.0,609.0,1676693231.3830066
Maynard,791.0,515.0,276.0,1676693231.3830066
Forest Garage,853.0,135.0,718.0,1676693231.3830066
Liberty Square (Tally Hall),540.0,355.0,185.0,1676693231.3830066
Ann Ashley,811.0,472.0,339.0,1676693231.3830066
South Ashley (Kline Lot),143.0,134.0,9.0,1676693231.3830066
4th & William,960.0,568.0,392.0,1676693231.3830066
1st & Wash.,243.0,243.0,0.0,1676693231.3830066
4th & Wash.,270.0,237.0,33.0,1676693231.3830066
1st and William,110.0,0.0,110.0,1676696831.3634844
Library Lane,744.0,135.0,609.0,1676696831.3634844
Maynard,791.0,515.0,276.0,1676696831.3634844
Forest Garage,853.0,135.0,718.0,1676696831.3634844
Liberty Square (Tally Hall),540.0,355.0,185.0,1676696831.3634844
Ann Ashley,811.0,472.0,339.0,1676696831.3634844
South Ashley (Kline Lot),143.0,134.0,9.0,1676696831.3634844
4th & William,960.0,568.0,392.0,1676696831.3634844
1st & Wash.,243.0,243.0,0.0,1676696831.3634844
4th & Wash.,270.0,237.0,33.0,1676696831.3634844
1st and William,110.0,0.0,110.0,1676700430.1291783
Library Lane,744.0,83.0,661.0,1676700430.1291783
Maynard,791.0,189.0,602.0,1676700430.1291783
Forest Garage,853.0,81.0,772.0,1676700430.1291783
Liberty Square (Tally Hall),540.0,233.0,307.0,1676700430.1291783
Ann Ashley,811.0,433.0,378.0,1676700430.1291783
South Ashley (Kline Lot),143.0,42.0,101.0,1676700430.1291783
4th & William,960.0,290.0,670.0,1676700430.1291783
1st & Wash.,243.0,243.0,0.0,1676700430.1291783
4th & Wash.,270.0,71.0,199.0,1676700430.1291783
1st and William,110.0,0.0,110.0,1676704030.0935838
Library Lane,744.0,83.0,661.0,1676704030.0935838
Maynard,791.0,189.0,602.0,1676704030.0935838
Forest Garage,853.0,81.0,772.0,1676704030.0935838
Liberty Square (Tally Hall),540.0,233.0,307.0,1676704030.0935838
Ann Ashley,811.0,433.0,378.0,1676704030.0935838
South Ashley (Kline Lot),143.0,42.0,101.0,1676704030.0935838
4th & William,960.0,290.0,670.0,1676704030.0935838
1st & Wash.,243.0,243.0,0.0,1676704030.0935838
4th & Wash.,270.0,71.0,199.0,1676704030.0935838
1st and William,110.0,0.0,110.0,1676707632.9990509
Library Lane,744.0,83.0,661.0,1676707632.9990509
Maynard,791.0,189.0,602.0,1676707632.9990509
Forest Garage,853.0,81.0,772.0,1676707632.9990509
Liberty Square (Tally Hall),540.0,233.0,307.0,1676707632.9990509
Ann Ashley,811.0,433.0,378.0,1676707632.9990509
South Ashley (Kline Lot),143.0,42.0,101.0,1676707632.9990509
4th & William,960.0,290.0,670.0,1676707632.9990509
1st & Wash.,243.0,243.0,0.0,1676707632.9990509
4th & Wash.,270.0,71.0,199.0,1676707632.9990509
1st and William,110.0,0.0,110.0,1676711234.5140958
Library Lane,744.0,72.0,672.0,1676711234.5140958
Maynard,791.0,182.0,609.0,1676711234.5140958
Forest Garage,853.0,5.0,848.0,1676711234.5140958
Liberty Square (Tally Hall),540.0,184.0,356.0,1676711234.5140958
Ann Ashley,811.0,385.0,426.0,1676711234.5140958
South Ashley (Kline Lot),143.0,14.0,129.0,1676711234.5140958
4th & William,960.0,265.0,695.0,1676711234.5140958
1st & Wash.,243.0,243.0,0.0,1676711234.5140958
4th & Wash.,270.0,51.0,219.0,1676711234.5140958
1st and William,110.0,0.0,110.0,1676714829.2495954
Library Lane,744.0,72.0,672.0,1676714829.2495954
Maynard,791.0,182.0,609.0,1676714829.2495954
Forest Garage,853.0,5.0,848.0,1676714829.2495954
Liberty Square (Tally Hall),540.0,184.0,356.0,1676714829.2495954
Ann Ashley,811.0,385.0,426.0,1676714829.2495954
South Ashley (Kline Lot),143.0,14.0,129.0,1676714829.2495954
4th & William,960.0,265.0,695.0,1676714829.2495954
1st & Wash.,243.0,243.0,0.0,1676714829.2495954
4th & Wash.,270.0,51.0,219.0,1676714829.2495954
1st and William,110.0,0.0,110.0,1676718429.0599484
Library Lane,744.0,72.0,672.0,1676718429.0599484
Maynard,791.0,182.0,609.0,1676718429.0599484
Forest Garage,853.0,5.0,848.0,1676718429.0599484
Liberty Square (Tally Hall),540.0,184.0,356.0,1676718429.0599484
Ann Ashley,811.0,385.0,426.0,1676718429.0599484
South Ashley (Kline Lot),143.0,14.0,129.0,1676718429.0599484
4th & William,960.0,265.0,695.0,1676718429.0599484
1st & Wash.,243.0,243.0,0.0,1676718429.0599484
4th & Wash.,270.0,51.0,219.0,1676718429.0599484
1st and William,110.0,0.0,110.0,1676722029.8376045
Library Lane,744.0,72.0,672.0,1676722029.8376045
Maynard,791.0,182.0,609.0,1676722029.8376045
Forest Garage,853.0,5.0,848.0,1676722029.8376045
Liberty Square (Tally Hall),540.0,184.0,356.0,1676722029.8376045
Ann Ashley,811.0,385.0,426.0,1676722029.8376045
South Ashley (Kline Lot),143.0,14.0,129.0,1676722029.8376045
4th & William,960.0,265.0,695.0,1676722029.8376045
1st & Wash.,243.0,243.0,0.0,1676722029.8376045
4th & Wash.,270.0,51.0,219.0,1676722029.8376045
1st and William,110.0,0.0,110.0,1676725635.0517082
Library Lane,744.0,81.0,663.0,1676725635.0517082
Maynard,791.0,407.0,384.0,1676725635.0517082
Forest Garage,853.0,22.0,831.0,1676725635.0517082
Liberty Square (Tally Hall),540.0,218.0,322.0,1676725635.0517082
Ann Ashley,811.0,383.0,428.0,1676725635.0517082
South Ashley (Kline Lot),143.0,9.0,134.0,1676725635.0517082
4th & William,960.0,279.0,681.0,1676725635.0517082
1st & Wash.,243.0,243.0,0.0,1676725635.0517082
4th & Wash.,270.0,56.0,214.0,1676725635.0517082
1st and William,110.0,0.0,110.0,1676729233.9698427
Library Lane,744.0,81.0,663.0,1676729233.9698427
Maynard,791.0,407.0,384.0,1676729233.9698427
Forest Garage,853.0,22.0,831.0,1676729233.9698427
Liberty Square (Tally Hall),540.0,218.0,322.0,1676729233.9698427
Ann Ashley,811.0,383.0,428.0,1676729233.9698427
South Ashley (Kline Lot),143.0,9.0,134.0,1676729233.9698427
4th & William,960.0,279.0,681.0,1676729233.9698427
1st & Wash.,243.0,243.0,0.0,1676729233.9698427
4th & Wash.,270.0,56.0,214.0,1676729233.9698427
1st and William,110.0,0.0,110.0,1676732835.4522247
Library Lane,744.0,81.0,663.0,1676732835.4522247
Maynard,791.0,407.0,384.0,1676732835.4522247
Forest Garage,853.0,22.0,831.0,1676732835.4522247
Liberty Square (Tally Hall),540.0,218.0,322.0,1676732835.4522247
Ann Ashley,811.0,383.0,428.0,1676732835.4522247
South Ashley (Kline Lot),143.0,9.0,134.0,1676732835.4522247
4th & William,960.0,279.0,681.0,1676732835.4522247
1st & Wash.,243.0,243.0,0.0,1676732835.4522247
4th & Wash.,270.0,56.0,214.0,1676732835.4522247
1st and William,110.0,0.0,110.0,1676736428.6735787
Library Lane,744.0,81.0,663.0,1676736428.6735787
Maynard,791.0,407.0,384.0,1676736428.6735787
Forest Garage,853.0,22.0,831.0,1676736428.6735787
Liberty Square (Tally Hall),540.0,218.0,322.0,1676736428.6735787
Ann Ashley,811.0,383.0,428.0,1676736428.6735787
South Ashley (Kline Lot),143.0,9.0,134.0,1676736428.6735787
4th & William,960.0,279.0,681.0,1676736428.6735787
1st & Wash.,243.0,243.0,0.0,1676736428.6735787
4th & Wash.,270.0,56.0,214.0,1676736428.6735787
1st and William,110.0,0.0,110.0,1676740030.766407
Library Lane,744.0,134.0,610.0,1676740030.766407
Maynard,791.0,788.0,3.0,1676740030.766407
Forest Garage,853.0,141.0,712.0,1676740030.766407
Liberty Square (Tally Hall),540.0,316.0,224.0,1676740030.766407
Ann Ashley,811.0,469.0,342.0,1676740030.766407
South Ashley (Kline Lot),143.0,83.0,60.0,1676740030.766407
4th & William,960.0,375.0,585.0,1676740030.766407
1st & Wash.,243.0,118.0,125.0,1676740030.766407
4th & Wash.,270.0,153.0,117.0,1676740030.766407
1st and William,110.0,0.0,110.0,1676743628.2694285
Library Lane,744.0,134.0,610.0,1676743628.2694285
Maynard,791.0,788.0,3.0,1676743628.2694285
Forest Garage,853.0,141.0,712.0,1676743628.2694285
Liberty Square (Tally Hall),540.0,316.0,224.0,1676743628.2694285
