structure,total,inUse,free,time
4th & William,960.0,138.0,822.0,1670137626.3301644
4th & Wash.,270.0,92.0,178.0,1670137626.3301644
1st & Wash.,243.0,243.0,0.0,1670137626.3301644
1st and William,110.0,0.0,110.0,1670141229.9618394
Library Lane,744.0,89.0,655.0,1670141229.9618394
Maynard,791.0,330.0,461.0,1670141229.9618394
Forest Garage,853.0,90.0,763.0,1670141229.9618394
Liberty Square (Tally Hall),540.0,136.0,404.0,1670141229.9618394
Ann Ashley,811.0,96.0,715.0,1670141229.9618394
South Ashley (Kline Lot),143.0,57.0,86.0,1670141229.9618394
4th & William,960.0,138.0,822.0,1670141229.9618394
4th & Wash.,270.0,92.0,178.0,1670141229.9618394
1st & Wash.,243.0,243.0,0.0,1670141229.9618394
1st and William,110.0,0.0,110.0,1670144838.694045
Library Lane,744.0,62.0,682.0,1670144838.694045
Maynard,791.0,56.0,735.0,1670144838.694045
Forest Garage,853.0,0.0,853.0,1670144838.694045
Liberty Square (Tally Hall),540.0,42.0,498.0,1670144838.694045
Ann Ashley,811.0,2.0,809.0,1670144838.694045
South Ashley (Kline Lot),143.0,4.0,139.0,1670144838.694045
4th & William,960.0,72.0,888.0,1670144838.694045
4th & Wash.,270.0,37.0,233.0,1670144838.694045
1st & Wash.,243.0,243.0,0.0,1670144838.694045
1st and William,110.0,0.0,110.0,1670148427.1644616
Library Lane,744.0,62.0,682.0,1670148427.1644616
Maynard,791.0,56.0,735.0,1670148427.1644616
Forest Garage,853.0,0.0,853.0,1670148427.1644616
Liberty Square (Tally Hall),540.0,42.0,498.0,1670148427.1644616
Ann Ashley,811.0,2.0,809.0,1670148427.1644616
South Ashley (Kline Lot),143.0,4.0,139.0,1670148427.1644616
4th & William,960.0,72.0,888.0,1670148427.1644616
4th & Wash.,270.0,37.0,233.0,1670148427.1644616
1st & Wash.,243.0,243.0,0.0,1670148427.1644616
1st and William,110.0,0.0,110.0,1670152027.519732
Library Lane,744.0,62.0,682.0,1670152027.519732
Maynard,791.0,56.0,735.0,1670152027.519732
Forest Garage,853.0,0.0,853.0,1670152027.519732
Liberty Square (Tally Hall),540.0,42.0,498.0,1670152027.519732
Ann Ashley,811.0,2.0,809.0,1670152027.519732
South Ashley (Kline Lot),143.0,4.0,139.0,1670152027.519732
4th & William,960.0,72.0,888.0,1670152027.519732
4th & Wash.,270.0,37.0,233.0,1670152027.519732
1st & Wash.,243.0,243.0,0.0,1670152027.519732
1st and William,110.0,0.0,110.0,1670155627.7984097
Library Lane,744.0,62.0,682.0,1670155627.7984097
Maynard,791.0,56.0,735.0,1670155627.7984097
Forest Garage,853.0,0.0,853.0,1670155627.7984097
Liberty Square (Tally Hall),540.0,42.0,498.0,1670155627.7984097
Ann Ashley,811.0,2.0,809.0,1670155627.7984097
South Ashley (Kline Lot),143.0,4.0,139.0,1670155627.7984097
4th & William,960.0,72.0,888.0,1670155627.7984097
4th & Wash.,270.0,37.0,233.0,1670155627.7984097
1st & Wash.,243.0,243.0,0.0,1670155627.7984097
1st and William,110.0,0.0,110.0,1670159235.4970005
Library Lane,744.0,62.0,682.0,1670159235.4970005
Maynard,791.0,56.0,735.0,1670159235.4970005
Forest Garage,853.0,0.0,853.0,1670159235.4970005
Liberty Square (Tally Hall),540.0,42.0,498.0,1670159235.4970005
Ann Ashley,811.0,2.0,809.0,1670159235.4970005
South Ashley (Kline Lot),143.0,3.0,140.0,1670159235.4970005
